ID Oddziału;Nazwa Oddziału;Typ Oddziału;Szpital (Nazwa);Miasto;ID Szpitala;Liczba Lekarzy na Oddziale;Data Utworzenia
dept_37_1;Oddział Chirurgii Laparoskopowej i Klasycznej z Chirurgicznym Leczeniem Otyłości;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W HAJNÓWCE;Hajnówka;hosp_37;1;2026-05-04T06:43:35.542Z
dept_37_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W HAJNÓWCE;Hajnówka;hosp_37;1;2026-05-04T06:43:35.542Z
dept_37_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W HAJNÓWCE;Hajnówka;hosp_37;1;2026-05-04T06:43:35.542Z
dept_38_1;Oddział Chirurgii Ogólnej z Pododdziałem Ortopedii i Traumatologii Narządu Ruchu;Zabiegowy;SZPITAL OGÓLNY W KOLNIE;Kolno;hosp_38;0;2026-05-03T06:43:35.542Z
dept_38_2;Blok operacyjny;Zabiegowy;SZPITAL OGÓLNY W KOLNIE;Kolno;hosp_38;0;2026-05-03T06:43:35.542Z
dept_38_3;Sterylizatornia;Zabiegowy;SZPITAL OGÓLNY W KOLNIE;Kolno;hosp_38;0;2026-05-03T06:43:35.542Z
dept_39_1;Oddział Chirurgiczny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁAPACH;Łapy;hosp_39;0;2026-05-02T06:43:35.542Z
dept_39_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁAPACH;Łapy;hosp_39;0;2026-05-02T06:43:35.542Z
dept_39_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁAPACH;Łapy;hosp_39;0;2026-05-02T06:43:35.542Z
dept_3_1;Oddział Chirurgiczny z Pododdziałem Laryngologicznym;Zabiegowy;SAMODZIELNY PUBLICZNY WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W CHEŁMIE;Chełm;hosp_3;0;2026-05-08T06:43:35.542Z
